PLAYER_NAME,Team,Season,WL,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,Games
A.C. Green,Miami Heat,2000-01,0.6097560975609756,17.21729674796748,1.7560975609756098,3.951219512195122,0.0,0.07317073170731707,0.9634146341463414,1.353658536585366,1.3048780487804879,2.5121951219512195,3.817073170731707,0.47560975609756095,0.5487804878048781,0.36585365853658536,0.0975609756097561,0.35365853658536583,1.451219512195122,0.012195121951219513,4.475609756097561,1.2682926829268293,82
Aaron Gordon,Orlando Magic,2014-15,0.2978723404255319,16.955851063829787,1.9787234042553192,4.425531914893617,0.2765957446808511,1.0212765957446808,0.9361702127659575,1.297872340425532,0.9787234042553191,2.617021276595745,3.595744680851064,0.7021276595744681,0.8085106382978723,0.44680851063829785,0.46808510638297873,0.3191489361702128,1.7659574468085106,1.1063829787234043,5.170212765957447,-3.4680851063829787,47
Aaron McKie,Philadelphia 76ers,2000-01,0.6710526315789473,31.456929824561406,4.447368421052632,9.394736842105264,0.6973684210526315,2.236842105263158,1.9605263157894737,2.5526315789473686,0.4342105263157895,3.6578947368421053,4.092105263157895,4.9605263157894735,2.6710526315789473,1.394736842105263,0.10526315789473684,0.7368421052631579,2.3421052631578947,0.0,11.552631578947368,4.394736842105263,76
Aaron McKie,Philadelphia 76ers,2004-05,0.5147058823529411,16.559656862745104,0.8970588235294118,2.088235294117647,0.29411764705882354,0.9117647058823529,0.14705882352941177,0.23529411764705882,0.29411764705882354,2.235294117647059,2.5294117647058822,1.5147058823529411,0.45588235294117646,0.7058823529411765,0.25,0.16176470588235295,1.7058823529411764,0.0,2.235294117647059,0.16176470588235295,68
Aaron Williams,Brooklyn Nets,2000-01,0.3170731707317073,28.4634349593496,3.6219512195121952,7.926829268292683,0.0,0.024390243902439025,2.975609756097561,3.7804878048780486,2.573170731707317,4.621951219512195,7.195121951219512,1.0731707317073171,1.6097560975609757,0.7195121951219512,1.3780487804878048,0.8536585365853658,3.8902439024390243,0.0,10.21951219512195,-4.646341463414634,82
Adam Morrison,Charlotte Hornets,2006-07,0.38461538461538464,29.81833333333333,4.551282051282051,12.102564102564102,1.1153846153846154,3.3076923076923075,1.5384615384615385,2.1666666666666665,0.6923076923076923,2.2564102564102564,2.948717948717949,2.08974358974359,1.6666666666666667,0.358974358974359,0.07692307692307693,0.47435897435897434,2.2948717948717947,1.858974358974359,11.756410256410257,-3.051282051282051,78
Adonal Foyle,Golden State Warriors,2002-03,0.4634146341463415,21.7830081300813,2.2560975609756095,4.2073170731707314,0.0,0.012195121951219513,0.8536585365853658,1.2682926829268293,2.1463414634146343,3.8292682926829267,5.975609756097561,0.45121951219512196,0.8902439024390244,0.4878048780487805,2.5,0.2926829268292683,2.6097560975609757,0.0,5.365853658536586,0.8780487804878049,82
Al Harrington,Denver Nuggets,2010-11,0.6164383561643836,22.802031963470323,3.8493150684931505,9.246575342465754,1.6027397260273972,4.493150684931507,1.178082191780822,1.6027397260273972,1.0410958904109588,3.506849315068493,4.5479452054794525,1.3835616438356164,1.452054794520548,0.5342465753424658,0.136986301369863,0.589041095890411,2.767123287671233,1.5342465753424657,10.479452054794521,1.7671232876712328,73
Al Harrington,Denver Nuggets,2011-12,0.5625,27.515390625,5.390625,12.078125,1.578125,4.734375,1.859375,2.75,1.125,4.96875,6.09375,1.375,1.75,0.90625,0.1875,0.796875,2.828125,2.1875,14.21875,2.59375,64
Al Harrington,Indiana Pacers,2001-02,0.5,29.758750000000006,5.2272727272727275,11.0,0.022727272727272728,0.06818181818181818,2.6136363636363638,3.272727272727273,2.1818181818181817,4.090909090909091,6.2727272727272725,1.2272727272727273,1.7727272727272727,0.9318181818181818,0.4772727272727273,0.5909090909090909,3.772727272727273,0.0,13.090909090909092,-1.1818181818181819,44
Al Harrington,Indiana Pacers,2002-03,0.5853658536585366,30.094837398373983,4.7439024390243905,10.926829268292684,0.15853658536585366,0.5609756097560976,2.573170731707317,3.341463414634146,1.9390243902439024,4.2926829268292686,6.2317073170731705,1.524390243902439,1.9878048780487805,0.8658536585365854,0.4024390243902439,1.0121951219512195,3.4146341463414633,0.024390243902439025,12.21951219512195,1.8780487804878048,82
Al Harrington,Indiana Pacers,2003-04,0.7341772151898734,30.897004219409276,5.329113924050633,11.50632911392405,0.26582278481012656,0.9746835443037974,2.3417721518987342,3.189873417721519,2.0632911392405062,4.367088607594937,6.430379746835443,1.6582278481012658,2.0632911392405062,1.0126582278481013,0.27848101265822783,1.0126582278481013,3.1645569620253164,0.0,13.265822784810126,0.8987341772151899,79
Al Harrington,New York Knicks,2009-10,0.3611111111111111,30.490254629629632,6.222222222222222,14.305555555555555,1.9444444444444444,5.680555555555555,3.3333333333333335,4.402777777777778,1.2222222222222223,4.402777777777778,5.625,1.5277777777777777,1.8333333333333333,0.8611111111111112,0.3611111111111111,0.7083333333333334,2.9027777777777777,3.6666666666666665,17.72222222222222,-3.125,72
Al Jefferson,Boston Celtics,2005-06,0.3898305084745763,18.00706214689266,3.2033898305084745,6.423728813559322,0.0,0.06779661016949153,1.4576271186440677,2.2711864406779663,1.6440677966101696,3.4237288135593222,5.067796610169491,0.5084745762711864,1.0508474576271187,0.5084745762711864,0.7796610169491526,0.7288135593220338,2.8135593220338984,1.9830508474576272,7.864406779661017,-1.847457627118644,59
